Region,Year,Month,Day,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
Northern,2017,9,1,624.23,484.21,273.27,320.81
Western,2017,9,1,"1,106.89","1,024.33",72.0,21.53
Southern,2017,9,1,576.66,578.55,111.57,64.78
Eastern,2017,9,1,441.02,429.39,85.94,69.36
NorthEastern,2017,9,1,29.11,15.91,24.64,21.21
Northern,2017,9,2,624.23,507.42,273.27,317.19
Western,2017,9,2,"1,106.89","1,050.91",72.0,23.97
Southern,2017,9,2,576.66,562.79,111.57,59.49
Eastern,2017,9,2,441.02,425.75,85.94,74.18
NorthEastern,2017,9,2,29.11,16.50,24.64,20.81
Northern,2017,9,3,624.23,492.69,273.27,316.69
Western,2017,9,3,"1,106.89","1,066.73",72.0,13.94
Southern,2017,9,3,572.16,530.68,111.57,47.53
Eastern,2017,9,3,445.38,427.61,85.94,71.05
NorthEastern,2017,9,3,29.11,15.52,24.64,23.84
Northern,2017,9,4,624.23,568.34,273.27,297.47
Western,2017,9,4,"1,106.89","1,115.43",72.0,37.38
Southern,2017,9,4,572.16,562.81,111.57,66.2
Eastern,2017,9,4,445.38,450.85,85.94,75.21
NorthEastern,2017,9,4,29.11,16.85,24.64,24.1
Northern,2017,9,5,628.58,597.08,273.27,290.23
Western,2017,9,5,"1,106.89","1,131.78",72.0,28.78
Southern,2017,9,5,576.35,575.06,111.57,58.0
Eastern,2017,9,5,449.92,459.09,85.94,70.29
NorthEastern,2017,9,5,29.11,16.64,24.64,22.86
Northern,2017,9,6,628.58,628.93,273.27,296.1
Western,2017,9,6,"1,124.57","1,171.82",72.0,40.94
Southern,2017,9,6,576.35,549.10,111.57,58.7
Eastern,2017,9,6,449.92,464.82,85.94,76.43
NorthEastern,2017,9,6,29.11,16.44,24.64,27.8
Northern,2017,9,7,628.48,651.03,273.27,298.57
Western,2017,9,7,"1,124.57","1,180.30",72.0,48.25
Southern,2017,9,7,585.98,565.52,111.57,55.52
Eastern,2017,9,7,449.92,461.96,85.94,75.34
NorthEastern,2017,9,7,29.11,20.71,24.64,24.12
Northern,2017,9,8,628.48,689.88,273.27,289.16
Western,2017,9,8,"1,124.57","1,189.75",72.0,35.86
Southern,2017,9,8,590.63,549.88,111.57,66.92
Eastern,2017,9,8,455.66,454.88,85.94,81.48
NorthEastern,2017,9,8,29.11,20.85,24.64,24.32
Northern,2017,9,9,631.16,717.43,273.27,278.05
Western,2017,9,9,"1,128.66","1,204.61",72.0,38.57
Southern,2017,9,9,589.74,549.44,111.57,72.25
Eastern,2017,9,9,455.66,455.25,85.94,80.46
NorthEastern,2017,9,9,29.11,18.92,24.64,24.94
Northern,2017,9,10,620.05,729.84,273.27,275.4
Western,2017,9,10,"1,131.56","1,218.51",72.0,33.9
Southern,2017,9,10,589.74,548.38,111.57,51.99
Eastern,2017,9,10,455.66,432.59,85.94,72.65
NorthEastern,2017,9,10,29.11,23.01,24.64,26.7
Northern,2017,9,11,623.30,733.92,273.27,283.93
Western,2017,9,11,"1,131.56","1,203.65",72.0,54.72
Southern,2017,9,11,589.74,574.95,111.57,83.2
Eastern,2017,9,11,455.66,435.21,85.94,77.93
NorthEastern,2017,9,11,29.11,23.32,24.64,22.78
Northern,2017,9,12,623.30,739.87,273.27,271.18
Western,2017,9,12,"1,131.56","1,194.99",72.0,74.08
Southern,2017,9,12,589.74,585.91,111.57,89.81
Eastern,2017,9,12,455.66,440.93,85.94,71.55
NorthEastern,2017,9,12,29.11,25.41,24.64,24.12
Northern,2017,9,13,628.08,753.80,273.27,263.43
Western,2017,9,13,"1,131.56","1,196.40",72.0,61.8
Southern,2017,9,13,589.74,602.26,111.57,82.27
Eastern,2017,9,13,455.66,450.83,85.94,72.06
NorthEastern,2017,9,13,29.11,27.89,24.64,25.06
Northern,2017,9,14,628.08,720.86,273.27,257.44
Western,2017,9,14,"1,131.56","1,209.96",72.0,62.05
Southern,2017,9,14,595.15,589.35,111.57,57.32
Eastern,2017,9,14,455.66,450.78,85.94,77.8
NorthEastern,2017,9,14,29.11,29.45,24.64,24.85
Northern,2017,9,15,628.08,703.60,273.27,260.56
Western,2017,9,15,"1,131.56","1,243.93",72.0,41.27
Southern,2017,9,15,593.08,593.62,111.57,67.95
Eastern,2017,9,15,484.74,438.75,85.94,83.76
NorthEastern,2017,9,15,29.11,28.63,24.64,20.8
Northern,2017,9,16,628.08,728.47,273.27,246.99
Western,2017,9,16,"1,131.56","1,228.99",72.0,17.06
Southern,2017,9,16,604.96,573.85,111.57,48.77
Eastern,2017,9,16,486.07,443.23,85.94,79.07
NorthEastern,2017,9,16,29.11,29.85,24.64,19.61
Northern,2017,9,17,628.08,682.88,273.27,242.68
Western,2017,9,17,"1,131.56","1,164.03",72.0,12.37
Southern,2017,9,17,596.08,494.17,111.57,43.19
Eastern,2017,9,17,486.07,421.62,85.94,72.32
NorthEastern,2017,9,17,29.11,28.72,24.64,19.98
Northern,2017,9,18,628.08,701.28,273.27,244.07
Western,2017,9,18,"1,131.56","1,172.61",72.0,15.09
Southern,2017,9,18,596.08,480.53,111.57,53.84
Eastern,2017,9,18,486.07,390.63,85.94,67.06
NorthEastern,2017,9,18,29.11,28.67,24.64,20.88
Northern,2017,9,19,628.08,704.14,273.27,240.35
Western,2017,9,19,"1,131.56","1,171.83",72.0,15.72
Southern,2017,9,19,596.08,472.32,111.57,58.74
Eastern,2017,9,19,486.07,417.92,85.94,69.41
NorthEastern,2017,9,19,29.11,30.77,24.64,20.24
Northern,2017,9,20,624.13,719.08,273.27,238.72
Western,2017,9,20,"1,131.56","1,138.76",72.0,19.65
Southern,2017,9,20,584.76,479.67,111.57,78.19
Eastern,2017,9,20,486.07,418.22,85.94,66.42
NorthEastern,2017,9,20,29.11,30.31,24.64,21.97
Northern,2017,9,21,624.13,710.69,273.27,239.27
Western,2017,9,21,"1,131.56","1,142.49",72.0,16.74
