Region,Year,Month,Day,Thermal Generation Actual (in MU),Hydro Generation Actual (in MU)
Northern,2017,9,1,624.23,273.27
Western,2017,9,1,1106.89,72.0
Southern,2017,9,1,576.66,111.57
Eastern,2017,9,1,441.02,85.94
NorthEastern,2017,9,1,29.11,24.64
Northern,2017,9,2,624.23,273.27
Western,2017,9,2,1106.89,72.0
Southern,2017,9,2,576.66,111.57
Eastern,2017,9,2,441.02,85.94
NorthEastern,2017,9,2,29.11,24.64
Northern,2017,9,3,624.23,273.27
Western,2017,9,3,1106.89,72.0
Southern,2017,9,3,572.16,111.57
Eastern,2017,9,3,445.38,85.94
NorthEastern,2017,9,3,29.11,24.64
Northern,2017,9,4,624.23,273.27
Western,2017,9,4,1106.89,72.0
Southern,2017,9,4,572.16,111.57
Eastern,2017,9,4,445.38,85.94
NorthEastern,2017,9,4,29.11,24.64
Northern,2017,9,5,628.58,273.27
Western,2017,9,5,1106.89,72.0
Southern,2017,9,5,576.35,111.57
Eastern,2017,9,5,449.92,85.94
NorthEastern,2017,9,5,29.11,24.64
Northern,2017,9,6,628.58,273.27
Western,2017,9,6,1124.57,72.0
Southern,2017,9,6,576.35,111.57
Eastern,2017,9,6,449.92,85.94
NorthEastern,2017,9,6,29.11,24.64
Northern,2017,9,7,628.48,273.27
Western,2017,9,7,1124.57,72.0
Southern,2017,9,7,585.98,111.57
Eastern,2017,9,7,449.92,85.94
NorthEastern,2017,9,7,29.11,24.64
Northern,2017,9,8,628.48,273.27
Western,2017,9,8,1124.57,72.0
Southern,2017,9,8,590.63,111.57
Eastern,2017,9,8,455.66,85.94
NorthEastern,2017,9,8,29.11,24.64
Northern,2017,9,9,631.16,273.27
Western,2017,9,9,1128.66,72.0
Southern,2017,9,9,589.74,111.57
Eastern,2017,9,9,455.66,85.94
NorthEastern,2017,9,9,29.11,24.64
Northern,2017,9,10,620.05,273.27
Western,2017,9,10,1131.56,72.0
Southern,2017,9,10,589.74,111.57
Eastern,2017,9,10,455.66,85.94
NorthEastern,2017,9,10,29.11,24.64
Northern,2017,9,11,623.3,273.27
Western,2017,9,11,1131.56,72.0
Southern,2017,9,11,589.74,111.57
Eastern,2017,9,11,455.66,85.94
NorthEastern,2017,9,11,29.11,24.64
Northern,2017,9,12,623.3,273.27
Western,2017,9,12,1131.56,72.0
Southern,2017,9,12,589.74,111.57
Eastern,2017,9,12,455.66,85.94
NorthEastern,2017,9,12,29.11,24.64
Northern,2017,9,13,628.08,273.27
Western,2017,9,13,1131.56,72.0
Southern,2017,9,13,589.74,111.57
Eastern,2017,9,13,455.66,85.94
NorthEastern,2017,9,13,29.11,24.64
Northern,2017,9,14,628.08,273.27
Western,2017,9,14,1131.56,72.0
Southern,2017,9,14,595.15,111.57
Eastern,2017,9,14,455.66,85.94
NorthEastern,2017,9,14,29.11,24.64
Northern,2017,9,15,628.08,273.27
Western,2017,9,15,1131.56,72.0
Southern,2017,9,15,593.08,111.57
Eastern,2017,9,15,484.74,85.94
NorthEastern,2017,9,15,29.11,24.64
Northern,2017,9,16,628.08,273.27
Western,2017,9,16,1131.56,72.0
Southern,2017,9,16,604.96,111.57
Eastern,2017,9,16,486.07,85.94
NorthEastern,2017,9,16,29.11,24.64
Northern,2017,9,17,628.08,273.27
Western,2017,9,17,1131.56,72.0
Southern,2017,9,17,596.08,111.57
Eastern,2017,9,17,486.07,85.94
NorthEastern,2017,9,17,29.11,24.64
Northern,2017,9,18,628.08,273.27
Western,2017,9,18,1131.56,72.0
Southern,2017,9,18,596.08,111.57
Eastern,2017,9,18,486.07,85.94
NorthEastern,2017,9,18,29.11,24.64
Northern,2017,9,19,628.08,273.27
Western,2017,9,19,1131.56,72.0
Southern,2017,9,19,596.08,111.57
Eastern,2017,9,19,486.07,85.94
NorthEastern,2017,9,19,29.11,24.64
